Player,Team,GP,MPG,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PPG,Year
Elden Campbell,LAL,79,19.6,1.6,2.6,4.2,0.6,0.7,1.3,0.9,2.1,7.7,1993
Fred Roberts,MIL,79,18.8,1.2,1.8,3,1.5,0.7,0.3,0.8,1.7,7.6,1993
Randy Brown,SAC,75,23,1,1.8,2.8,2.6,1.4,0.5,1.6,2.7,7.6,1993
Dennis Rodman,DET,62,38.9,5.9,12.3,18.3,1.6,0.8,0.7,1.7,3.2,7.5,1993
Danny Ferry,CLE,76,19.2,1.1,2.6,3.7,1.8,0.4,0.6,1.1,2.2,7.5,1993
Thurl Bailey,MIN,70,18.2,0.8,2.3,3.1,0.9,0.3,0.7,0.9,1.3,7.5,1993
Nate McMillan,SEA,73,27.1,1.2,3,4.2,5.3,2.4,0.4,1.9,3.3,7.5,1993
Carl Herrera,HOU,81,22.2,1.8,3.8,5.6,0.8,0.6,0.4,1.1,2.3,7.5,1993
Vinny Del Negro,SAS,73,20.9,0.3,2,2.2,4,0.6,0,1.3,2,7.4,1993
Brian Shaw,MIA,68,23.6,1,2.8,3.8,3.5,0.7,0.3,1.4,2.4,7.3,1993
Matt Bullard,HOU,79,17.2,0.8,2,2.8,1.4,0.4,0.1,0.7,1.6,7.3,1993
Olden Polynice,DET,67,19.4,2.7,3.5,6.2,0.4,0.5,0.3,0.8,1.9,7.3,1993
George McCloud,IND,78,19.2,0.8,1.9,2.6,2.5,0.7,0.1,1.4,2.1,7.2,1993
Larry Krystkowiak,UTA,71,19.2,1,2.9,3.9,1,0.6,0.2,0.9,2.5,7.2,1993
Sam Mitchell,IND,81,17.3,1.1,1.9,3.1,0.9,0.3,0.1,0.6,2.6,7.2,1993
Jeff Turner,ORL,75,19.7,1,2.4,3.4,1.4,0.3,0.1,0.9,2.6,7,1993
Charles Oakley,NYK,82,27.2,3.5,5.1,8.6,1.5,1,0.2,1.5,3.5,6.9,1993
Kenny Gattison,CHA,75,19.7,1.4,3.3,4.7,0.9,0.6,0.7,0.9,3.2,6.8,1993
John Williams,LAC,74,22.1,1.2,3.1,4.3,1.9,1.1,0.3,1.1,2.5,6.6,1993
Sleepy Floyd,HOU,52,16.7,0.3,1.4,1.7,2.5,0.6,0.1,1.3,1.1,6.6,1993
Adam Keefe,ATL,82,18.9,2.1,3.2,5.3,1,0.7,0.2,1.2,2.4,6.6,1993
Gary Grant,LAC,74,21.9,0.4,1.5,1.9,4.8,1.4,0.1,1.7,2.3,6.6,1993
Don MacLean,WAS,62,10.9,0.5,1.4,2,0.6,0.2,0.1,0.7,1.3,6.6,1993
Greg Anthony,NYK,70,24.3,0.6,1.8,2.4,5.7,1.6,0.2,1.5,2,6.6,1993
Buck Johnson,WAS,73,17.6,1.1,1.6,2.7,1.2,0.5,0.2,1,2.6,6.5,1993
Brian Howard,DAL,68,19,1,2.1,3.1,1,0.8,0.5,1,3.2,6.5,1993
Rick Fox,BOS,71,15.2,0.8,1.5,2.2,1.6,0.9,0.3,1.1,1.9,6.4,1993
Scott Brooks,HOU,82,18.5,0.3,0.9,1.2,3,1,0,0.9,1.7,6.3,1993
Rafael Addison,NJN,68,17.1,0.7,1.3,1.9,0.8,0.3,0.2,0.9,1.8,6.3,1993
Bob McCann,MIN,79,19.4,1.2,2.4,3.6,0.9,0.6,0.7,1,2.5,6.3,1993
Jud Buechler,GSW,70,18.4,1.2,1.6,2.8,1.3,0.7,0.3,0.8,1.4,6.2,1993
Pete Chilcutt,SAC,59,14.1,1.4,1.9,3.3,1.1,0.4,0.4,0.9,1.7,6.1,1993
David Wingate,CHA,72,20.4,0.7,1.7,2.4,2.5,0.9,0.1,1.2,1.9,6.1,1993
Kenny Williams,IND,57,14.8,1.8,2.2,4,0.7,0.4,0.8,0.5,1.5,6.1,1993
Michael Cage,SEA,82,26.3,3.3,4.8,8,0.8,0.9,0.6,0.7,2.2,6.1,1993
Negele Knight,PHX,52,17.1,0.5,0.7,1.2,2.8,0.4,0.1,1.4,1.3,6.1,1993
Tony Smith,LAL,55,13.7,0.8,0.7,1.6,1.1,0.9,0.1,0.7,1.3,6,1993
Mark Bryant,POR,80,17.4,1.6,2.4,4,0.5,0.5,0.3,0.8,2.8,6,1993
Scott Williams,CHI,71,19.3,2.4,4,6.4,1,0.8,0.9,1,3.2,5.9,1993
Winston Garland,HOU,66,15.2,0.5,1.2,1.6,2.1,0.6,0.1,1,1.8,5.9,1993
Malik Sealy,IND,58,11.6,1,0.9,1.9,0.8,0.6,0.1,1,1.3,5.7,1993
Benoit Benjamin,LAL,59,12.8,0.9,2.7,3.5,0.4,0.5,0.8,1.3,2.3,5.7,1993
Mike Brown,UTA,82,18.8,1.8,3,4.8,0.8,0.4,0.3,1.2,2.3,5.7,1993
Vincent Askew,SEA,73,15.5,0.8,1.4,2.2,1.7,0.5,0.3,0.9,1.8,5.6,1993
Bill Cartwright,CHI,63,19.9,1.3,2.4,3.7,1.3,0.3,0.2,1,2.4,5.6,1993
Oliver Miller,PHX,56,19.1,1.2,3.7,4.9,2.1,0.7,1.8,1.9,2.6,5.6,1993
Stacey King,CHI,76,13.9,1.4,1.3,2.7,0.9,0.3,0.3,0.9,1.7,5.4,1993
Byron Houston,GSW,79,16.1,1.5,2.5,4,0.9,0.6,0.5,1.1,3.2,5.3,1993
Mark West,PHX,82,19,1.9,3.7,5.6,0.4,0.2,1.3,1.1,3,5.3,1993
Andrew Lang,PHI,73,25.5,1.9,4.1,6,1.1,0.6,1.9,1.2,3.6,5.3,1993
Gerald Glass,DET,60,14.1,1,1.4,2.4,1.3,0.6,0.3,0.6,1.7,5.3,1993
Trent Tucker,CHI,69,13.2,0.2,0.8,1,1.2,0.3,0.1,0.3,0.9,5.2,1993
Lee Mayberry,MIL,82,18.3,0.3,1.1,1.4,3.3,0.7,0.1,1,1.8,5.2,1993
Chucky Brown,NJN,77,15.4,1.1,1.9,3,0.7,0.3,0.3,0.7,1.5,5.1,1993
Donald Hodge,DAL,79,16,1.2,2.5,3.7,0.9,0.4,0.5,1.1,2.6,5,1993
Will Perdue,CHI,72,13.9,1.4,2.6,4,1,0.3,0.7,1,1.9,4.7,1993
Gary Plummer,DEN,60,12.3,0.9,2,2.9,0.7,0.2,0.2,1.3,2.4,4.7,1993
Danny Schayes,MIL,70,16.1,1,2.5,3.6,1.1,0.5,0.5,0.9,2.1,4.6,1993
Morlon Wiley,DAL,58,17.2,0.5,1.1,1.6,3.1,1.1,0.1,1.4,2.2,4.5,1993
Jim Les,SAC,73,12.1,0.3,0.9,1.2,2.3,0.5,0.1,0.7,1.1,4.5,1993
Chris Smith,MIN,80,15.8,0.4,0.8,1.2,2.5,0.6,0.2,0.8,1.2,4.3,1993
Frank Johnson,PHX,77,14.6,0.5,0.9,1.5,2.4,0.8,0.1,1,1.4,4.3,1993
John Paxson,CHI,59,17.5,0.2,0.7,0.8,2.3,0.6,0,0.5,1.7,4.2,1993
Felton Spencer,MIN,71,18.3,1.9,2.7,4.6,0.2,0.3,0.9,1,3.4,4.1,1993
Rick Mahorn,NJN,74,14.6,1.3,2.5,3.8,0.4,0.3,0.4,0.8,2.1,3.9,1993
Brent Price,WAS,68,12.6,0.4,1.1,1.5,2.3,0.8,0,1.2,1.3,3.9,1993
LaSalle Thompson,IND,63,11.6,0.9,2,2.8,0.5,0.5,0.4,0.7,2.2,3.8,1993
Tony Bennett,CHA,75,11.4,0.2,0.7,0.8,1.8,0.4,0,0.7,1.5,3.7,1993
Jon Koncak,ATL,78,25.3,1.3,4.2,5.5,1.8,1,1.3,0.7,3.4,3.5,1993
Rodney McCray,CHI,64,15.9,0.8,1.6,2.5,1.3,0.2,0.2,0.8,1.5,3.5,1993
Chris Dudley,NJN,71,19.7,3,4.2,7.2,0.2,0.2,1.4,0.8,2.7,3.5,1993
Joe Kleine,BOS,78,14.5,1.4,3,4.4,0.5,0.2,0.2,0.5,1.6,3.3,1993
Keith Askins,MIA,69,13.6,1.1,1.8,2.9,0.4,0.4,0.4,0.5,2,3.3,1993
Danny Young,DET,65,12.9,0.2,0.5,0.7,1.8,0.5,0.1,0.5,0.6,2.9,1993
Herb Williams,NYK,55,10.4,0.8,1.9,2.7,0.3,0.4,0.5,0.4,1.4,2.9,1993
Mark Eaton,UTA,64,17.2,1.1,3,4.1,0.3,0.3,1.2,0.7,2.2,2.8,1993
Greg Grant,PHI,72,13.8,0.3,0.6,0.9,2.9,0.6,0,0.8,1,2.7,1993
Lance Blanks,MIN,61,10.5,0.3,0.8,1.1,1.2,0.3,0.1,0.5,1,2.6,1993
Kurt Rambis,SAC,72,11.4,1.1,2.1,3.2,0.7,0.6,0.2,0.6,1.7,2.5,1993
David Wood,SAS,64,9.3,0.6,0.9,1.5,0.5,0.2,0.2,0.5,1.5,2.4,1993
Duane Cooper,LAL,65,9.9,0.2,0.6,0.8,2.3,0.3,0,1.1,1,2.4,1993
Manute Bol,PHI,58,14.7,0.8,2.6,3.3,0.3,0.2,2.1,0.9,1.5,2.2,1993
Scott Hastings,DEN,76,8.8,0.6,1.2,1.8,0.4,0.2,0.1,0.4,1.5,2.1,1993
Greg Kite,ORL,64,10,1,2,3,0.2,0.2,0.2,0.5,2.1,1.4,1993
Charles A. Jones,WAS,67,18,1.3,2.8,4.1,0.6,0.6,1.1,0.6,2.1,1.3,1993
Larry Smith,SAS,66,12.6,1.6,2.5,4.1,0.4,0.3,0.2,0.6,2,1.3,1993
David Robinson,SAS,80,40.5,3,7.7,10.7,4.8,1.7,3.3,3.2,2.9,29.8,1994
Shaquille O'Neal,ORL,81,39.8,4.7,8.5,13.2,2.4,0.9,2.9,2.7,3.5,29.3,1994
Hakeem Olajuwon,HOU,80,41,2.9,9.1,11.9,3.6,1.6,3.7,3.4,3.6,27.3,1994
Dominique Wilkins,LAC,74,35.6,2.5,4,6.5,2.3,1.2,0.4,2.3,1.7,26,1994
Karl Malone,UTA,82,40.6,2.9,8.6,11.5,4,1.5,1.5,2.9,3.3,25.2,1994
Patrick Ewing,NYK,79,37.6,2.8,8.4,11.2,2.3,1.1,2.7,3.3,3.5,24.5,1994
Mitch Richmond,SAC,78,37.1,0.9,2.8,3.7,4,1.3,0.2,2.8,2.7,23.4,1994
Scottie Pippen,CHI,72,38.3,2.4,6.3,8.7,5.6,2.9,0.8,3.2,3.2,22,1994
Charles Barkley,PHX,65,35.4,3,8.1,11.2,4.6,1.6,0.6,3.2,2.5,21.6,1994
Alonzo Mourning,CHA,60,33.6,3,7.2,10.2,1.4,0.5,3.1,3.3,3.5,21.4,1994
Glen Rice,MIA,81,37,0.9,4.4,5.4,2.3,1.4,0.4,1.6,2.3,21.1,1994
Latrell Sprewell,GSW,82,43.1,1,3.9,4.9,4.7,2.2,0.9,2.8,1.9,21,1994
Danny Manning,ATL,68,37.1,1.9,4.9,6.8,3.8,1.5,1.2,3.4,3.8,20.6,1994
Joe Dumars,DET,69,37.6,0.5,1.7,2.2,3.8,0.9,0.1,2.3,1.7,20.4,1994
Derrick Coleman,NJN,77,36.1,3.4,7.9,11.3,3.4,0.9,1.8,2.7,2.7,20.2,1994
Ron Harper,LAC,75,38.1,1.7,4.4,6.1,4.6,1.9,0.7,3.2,2.2,20.1,1994
Cliff Robinson,POR,82,34.8,2,4.7,6.7,1.9,1.4,1.4,2.1,3.2,20.1,1994
Kevin Johnson,PHX,67,36.6,0.8,1.7,2.5,9.5,1.9,0.1,3.5,1.9,20,1994
Reggie Miller,IND,79,33.4,0.4,2.3,2.7,3.1,1.5,0.3,2.2,2.4,19.9,1994
Jim Jackson,DAL,82,37.4,2.1,2.7,4.7,4.6,1.1,0.3,4.1,2,19.2,1994
Clyde Drexler,POR,68,34.3,2.3,4.3,6.5,4.9,1.4,0.5,2.5,3,19.2,1994
Jamal Mashburn,DAL,79,36.7,1.4,3.1,4.5,3.4,1.1,0.2,3.1,2.6,19.2,1994
Kevin Willis,ATL,80,35.8,4.2,7.8,12,1.9,1,0.5,2.4,3.1,19.1,1994
Cedric Ceballos,PHX,53,30.2,2.9,3.6,6.5,1.7,1.1,0.4,1.8,2.3,19.1,1994
John Starks,NYK,59,34.9,0.6,2.5,3.1,5.9,1.6,0.1,3.1,3.2,19,1994
Kenny Anderson,NJN,82,38.2,1.1,2.8,3.9,9.6,1.9,0.2,3.2,2.5,18.8,1994
Clarence Weatherspoon,PHI,82,38.4,3.1,7,10.1,2.3,1.2,1.4,2.4,1.9,18.4,1994
Rex Chapman,WAS,60,33.8,0.9,1.5,2.4,3.1,1,0.1,1.9,1.4,18.2,1994
Don MacLean,WAS,75,33.2,1.9,4.4,6.2,2.1,0.6,0.3,2,2.3,18.2,1994
Shawn Kemp,SEA,79,32.9,3.9,6.8,10.8,2.6,1.8,2.1,3.3,3.9,18.1,1994
Mahmoud Abdul-Rauf,DEN,80,32.7,0.3,1.8,2.1,4.5,1,0.1,1.9,1.9,18,1994
Chris Webber,GSW,76,32.1,4,5.1,9.1,3.6,1.2,2.2,2.7,3.2,17.5,1994
Mark Price,CLE,76,31.4,0.5,2.5,3,7.8,1.4,0.1,2.5,1.2,17.3,1994
Terry Mills,DET,80,34.7,2.4,6,8.4,2.2,0.8,0.8,1.9,3.9,17.3,1994
Steve Smith,MIA,78,35.6,2,2.5,4.5,5.1,1.1,0.4,2.6,2.8,17.3,1994
Rod Strickland,POR,82,35.2,1.5,3,4.5,9,1.8,0.3,3.1,2.1,17.2,1994
Tom Gugliotta,WAS,78,35.8,2.4,6.9,9.3,3.5,2.2,0.7,3.2,2.2,17.1,1994
Chris Mullin,GSW,62,37.5,1,4.5,5.6,5.1,1.7,0.9,2.9,1.8,16.8,1994
Christian Laettner,MIN,70,34.7,2.3,6.3,8.6,4.4,1.2,1.2,3.7,3.8,16.8,1994
Wayman Tisdale,SAC,79,32.4,2,5.1,7.1,1.8,0.5,0.7,1.6,3.7,16.7,1994
J.R. Rider,MIN,79,30.6,1.5,2.5,4,2.6,0.7,0.4,2.8,2.5,16.6,1994
Dan Majerle,PHX,80,40.1,1.5,2.9,4.4,3.4,1.6,0.5,1.7,1.9,16.5,1994
Gary Payton,SEA,82,35.1,1.3,2,3.3,6,2.3,0.2,2.1,2.8,16.5,1994
Jeff Malone,PHI,77,33.2,0.7,1.9,2.6,1.6,0.5,0.1,1.1,1.6,16.4,1994
Dell Curry,CHA,82,26.5,0.9,2.3,3.2,2.7,1.2,0.3,1.5,2,16.3,1994
Penny Hardaway,ORL,82,36.8,2.3,3,5.4,6.6,2.3,0.6,3.6,2.5,16,1994
Jeff Hornacek,UTA,80,35.2,0.8,2.7,3.5,5.2,1.6,0.2,2.1,2.3,15.9,1994
Nick Anderson,ORL,81,34.7,1.4,4.5,5.9,3.6,1.7,0.4,2,1.8,15.8,1994
Rik Smits,IND,78,27.1,1.7,4.5,6.2,2,0.6,1.1,1.9,3.6,15.7,1994
Dee Brown,BOS,77,37.2,0.8,3.1,3.9,4.5,2,0.6,1.6,2.7,15.5,1994
LaPhonso Ellis,DEN,79,34.2,2.8,5.8,8.6,2.1,0.8,1,2.2,3.8,15.4,1994
Eric Murdock,MIL,82,30.9,1.1,2.1,3.2,6.7,2.4,0.1,2.5,2.3,15.3,1994
Dale Ellis,SAS,77,33.6,0.9,2.4,3.3,1,0.9,0.1,1,1.8,15.2,1994
Rony Seikaly,MIA,72,33.5,3.4,6.9,10.3,1.9,0.8,1.4,2.7,3.9,15.1,1994
Horace Grant,CHI,70,36.7,4.4,6.6,11,3.4,1.1,1.2,1.6,2.3,15.1,1994
Dino Radja,BOS,80,28.8,2.4,4.8,7.2,1.4,0.9,0.8,1.9,3.5,15.1,1994
John Stockton,UTA,82,36.2,0.9,2.3,3.1,12.6,2.4,0.3,3.2,2.9,15.1,1994
Lionel Simmons,SAC,75,36,2.2,5.3,7.5,4.1,1.4,0.7,2.4,2.5,15.1,1994
Billy Owens,GSW,79,34.7,2.9,5.2,8.1,4.1,1.1,0.8,2.7,3.4,15,1994
Detlef Schrempf,SEA,81,33.7,1.8,3.8,5.6,3.4,0.9,0.1,2.1,3.4,15,1994
Stacey Augmon,ATL,82,31.8,2.2,2.6,4.8,2.3,1.8,0.5,1.8,2.2,14.8,1994
B.J. Armstrong,CHI,82,33.8,0.3,1.7,2.1,3.9,1,0.1,1.6,1.8,14.8,1994
Isiah Thomas,DET,58,30.2,0.8,1.9,2.7,6.9,1.2,0.1,3.5,2.2,14.8,1994
A.C. Green,PHX,82,34.5,3.4,5.8,9.2,1.7,0.9,0.5,1.2,1.7,14.7,1994
Doug West,MIN,72,30.3,0.8,2.4,3.2,2.4,0.9,0.3,1.9,3.3,14.7,1994
Hersey Hawkins,CHA,82,32.3,1.1,3.5,4.6,2.6,1.6,0.3,1.9,2,14.4,1994
Gerald Wilkins,CLE,82,33.8,1.3,2.4,3.7,3.1,1.3,0.5,1.6,2.3,14.3,1994
Vlade Divac,LAL,79,34,3.6,7.2,10.8,3.9,1.2,1.4,2.4,3.6,14.2,1994
Kendall Gill,SEA,79,30.8,1.2,2.2,3.4,3.5,1.9,0.4,1.8,2.5,14.1,1994
Otis Thorpe,HOU,82,35.5,3.3,7.3,10.6,2.3,0.8,0.3,2.3,3.1,14,1994
Kevin Edwards,NJN,82,33.3,1.1,2.3,3.4,2.8,1.5,0.4,1.6,1.8,14,1994
Mookie Blaylock,ATL,81,36,1.4,3.8,5.2,9.7,2.6,0.5,2.4,1.8,13.8,1994
Hot Rod Williams,CLE,76,35,2.7,4.8,7.6,2.5,1,1.7,1.8,2.9,13.7,1994
Micheal Williams,MIN,71,31.1,0.9,2.2,3.1,7.2,1.7,0.3,2.9,2.7,13.7,1994
Vernon Maxwell,HOU,75,34.3,0.6,2.5,3.1,5.1,1.7,0.3,2.5,1.9,13.6,1994
Nick Van Exel,LAL,81,33.3,0.6,2.4,2.9,5.8,1,0.1,1.8,1.9,13.6,1994
Vin Baker,MIL,82,31.2,3.4,4.2,7.6,2,0.7,1.4,2,2.8,13.5,1994
Sherman Douglas,BOS,78,35.8,0.9,1.6,2.5,8.8,1.1,0.1,3,2.2,13.3,1994
Dana Barros,PHI,81,31.1,0.3,2.1,2.4,5.2,1.3,0.1,2.1,1.2,13.3,1994
Frank Brickowski,CHA,71,29.5,1.2,4.5,5.7,3.1,1.1,0.4,2.5,3.4,13.2,1994
Terry Porter,POR,77,26.9,0.6,2.2,2.8,5.2,1,0.2,2.2,1.7,13.1,1994
Reggie Williams,DEN,82,32.4,1.2,3.6,4.8,3.7,1.4,0.8,2,3.5,13,1994
Dennis Scott,ORL,82,27.8,0.7,2,2.7,2.6,1,0.4,1.1,2,12.8,1994
Spud Webb,SAC,79,32.5,0.6,2.3,2.8,6.7,1.2,0.3,2.1,2.3,12.7,1994
Todd Day,MIL,76,28,1.5,2.6,4.1,1.8,1.4,0.7,1.7,2.9,12.7,1994
Orlando Woolridge,PHI,74,26.4,1.4,2.6,4,1.9,0.6,0.8,1.9,2.5,12.7,1994
Bryant Stith,DEN,82,34.8,1.5,2.8,4.3,2.4,1.4,0.2,1.6,2,12.5,1994
Sam Perkins,SEA,81,26.8,1.5,3,4.5,1.4,0.8,0.4,1.3,2.4,12.3,1994
Elden Campbell,LAL,76,29.6,2.2,4.6,6.8,1.1,0.8,1.9,1.3,3.2,12.3,1994
Michael Adams,WAS,70,33.4,0.5,2.1,2.6,6.9,1.4,0.1,2.4,2,12.1,1994
Sean Elliott,DET,73,33,0.9,2.7,3.6,2.7,0.7,0.4,1.8,2.4,12.1,1994
Dikembe Mutombo,DEN,82,34.8,3.5,8.4,11.8,1.5,0.7,4.1,2.5,3.2,12,1994
Derrick McKey,IND,76,34.4,1.7,3.6,5.3,4.3,1.5,0.6,3,3.3,12,1994
Calbert Cheaney,WAS,65,24.7,1.4,1.6,2.9,1.9,1,0.2,1.7,2.3,12,1994
Ken Norman,MIL,82,31,2.1,4,6.1,2.7,0.7,0.6,1.8,2.5,11.9,1994
Willie Anderson,SAS,80,31.1,0.8,2.2,3,4.3,0.9,0.6,1.9,2.3,11.9,1994
Sedale Threatt,LAL,81,28.1,0.3,1.5,1.9,4.2,1.4,0.2,1.3,2.3,11.9,1994
Armen Gilliam,NJN,82,24,2.4,3.7,6.1,0.8,0.5,0.7,1.3,1.6,11.8,1994
Charles Oakley,NYK,82,35.8,4.3,7.5,11.8,2.7,1.3,0.2,2.4,3.6,11.8,1994
Robert Parish,BOS,74,26.9,1.9,5.4,7.3,1.1,0.6,1.3,1.5,2.6,11.7,1994
Loy Vaught,LAC,75,28.2,2.9,5.8,8.7,1,1,0.3,1.3,2.9,11.7,1994
Dale Davis,IND,66,34.7,4.2,6.6,10.9,1.5,0.7,1.6,1.5,3.2,11.7,1994
Blue Edwards,MIL,82,28.3,1.3,2.7,4,2.1,1,0.3,1.8,2.9,11.6,1994
Kenny Smith,HOU,78,28.3,0.3,1.5,1.8,4.2,0.8,0.1,1.6,1.6,11.6,1994
Chuck Person,MIN,77,26.4,0.7,2.6,3.3,2.4,0.6,0.2,1.6,2.1,11.6,1994
Olden Polynice,SAC,68,35.3,4.4,7.5,11.9,0.6,0.6,1,1.1,2.8,11.6,1994
Kevin Gamble,BOS,75,25.1,0.5,1.6,2.1,2,0.8,0.3,1,1.8,11.5,1994
Eddie Johnson,CHA,73,20,1.1,2,3.1,1.7,0.5,0.1,1.2,2,11.5,1994
Grant Long,MIA,69,31.9,2.8,4.4,7.2,2.5,1.3,0.4,1.8,3.5,11.4,1994
Xavier McDaniel,BOS,82,24,1.7,3.1,4.9,1.5,0.6,0.5,1.4,2.4,11.3,1994
Tom Chambers,UTA,80,23,1.1,3,4.1,1,0.5,0.4,1.1,2.9,11.2,1994
Hubert Davis,NYK,56,23.8,0.4,0.8,1.2,2.9,0.7,0.1,1.4,2.1,11,1994
Mark Jackson,LAC,79,34.3,1.4,3.1,4.4,8.6,1.5,0.1,2.9,1.5,10.9,1994
Avery Johnson,GSW,82,28.4,0.5,1.6,2.1,5.3,1.4,0.1,2.1,2,10.9,1994
Toni Kukoc,CHI,75,24.1,1.3,2.7,4,3.4,1.1,0.4,2.2,1.6,10.9,1994
Muggsy Bogues,CHA,77,35.7,1,3.1,4.1,10.1,1.7,0,2.2,1.9,10.8,1994
Rick Fox,BOS,82,25.6,1.3,3,4.3,2.6,1,0.6,1.9,3,10.8,1994
Tyrone Hill,CLE,57,25.4,3.2,5.5,8.8,0.8,0.9,0.6,1.4,3.4,10.6,1994
Harold Miner,MIA,63,21.6,1.2,1.3,2.5,1.5,0.5,0.2,1.5,2.1,10.5,1994
Charles Daniel Smith,NYK,43,25.7,1.5,2.3,3.8,1.2,0.6,1,1.5,3.3,10.4,1994
Byron Scott,IND,67,17.9,0.3,1.4,1.6,2,0.9,0.1,1.5,1.2,10.4,1994
Harvey Grant,POR,77,27.4,1.4,3.1,4.6,1.4,0.9,0.6,0.7,2.3,10.4,1994
Doug Christie,LAL,65,23.3,1.4,2.2,3.6,2.1,1.4,0.4,2.2,2.9,10.3,1994
Lindsey Hunter,DET,82,26.5,0.6,1.7,2.3,4.8,1.5,0.1,2.2,2.1,10.3,1994
Johnny Newman,NJN,81,21,1.1,1.2,2.2,0.9,0.9,0.3,1.1,2.4,10.3,1994
James Worthy,LAL,80,20,0.6,1.7,2.3,1.9,0.6,0.2,1.2,1,10.2,1994
Vinny Del Negro,SAS,77,25.3,0.4,1.7,2.1,4.2,0.8,0,1.3,2.2,10,1994
Craig Ehlo,ATL,82,26.2,0.9,2.5,3.4,3.3,1.7,0.3,1.6,2,10,1994
Scott Skiles,ORL,82,28.1,0.5,1.8,2.3,6.1,0.6,0,2.4,2.1,9.9,1994
Robert Horry,HOU,81,29.3,1.6,3.9,5.4,2.9,1.5,0.9,1.7,2.3,9.9,1994
Buck Williams,POR,81,32.5,3.9,6.5,10.4,1,0.7,0.6,1.4,3,9.7,1994
Derek Harper,NYK,82,26.9,0.2,1.5,1.7,4.1,1.5,0.1,1.6,2,9.6,1994
George Lynch,LAL,71,24.8,3.1,2.7,5.8,1.4,1.4,0.4,1.2,2.5,9.6,1994
Robert Pack,DEN,66,20.9,0.4,1.5,1.9,5.4,1.2,0.1,3.1,2.2,9.6,1994
Chris Mills,CLE,79,25.6,1.7,3.4,5.1,1.6,0.7,0.6,1.1,2.9,9.4,1994
Mario Elie,HOU,67,24,0.4,2.3,2.7,3.1,0.7,0.1,1.6,1.9,9.3,1994
Benoit Benjamin,NJN,77,23.6,1.8,4.7,6.5,0.6,0.5,1.2,1.3,2.6,9.3,1994
Oliver Miller,PHX,69,25.9,2,4.9,6.9,3.5,1.2,2.3,2.4,3.3,9.2,1994
Negele Knight,SAS,65,22.1,0.4,1.2,1.6,3,0.5,0.2,1.4,1.9,9.2,1994
Vincent Askew,SEA,80,21.1,0.8,1.6,2.3,2.4,0.9,0.2,0.9,1.8,9.1,1994
Brian Shaw,MIA,77,26.5,1.4,3.2,4.5,5,0.9,0.3,2.2,2.5,9,1994
Tim Perry,PHI,80,29.2,1.5,3.6,5,1.2,0.8,1,1,1.9,9,1994
J.R. Reid,SAS,70,19.2,1.3,1.8,3.1,1,0.6,0.4,1.2,2.4,9,1994
Danny Ainge,PHX,68,22.9,0.4,1.5,1.9,2.6,0.8,0.1,1.2,2.1,8.9,1994
Elmore Spencer,LAC,76,25.4,1.3,4.2,5.5,1,0.4,1.7,2.2,2.7,8.9,1994
Tony Smith,LAL,73,22.2,1.5,1.2,2.7,2,0.8,0.2,1,1.8,8.8,1994
Doug Smith,DAL,79,21.3,1.4,3,4.4,1.5,1,0.5,1.2,3.6,8.8,1994
Tony Campbell,DAL,63,19.3,1.2,1.7,3,1.3,0.8,0.2,1.3,2.1,8.8,1994
Victor Alexander,GSW,69,19.1,1.7,2.8,4.5,1,0.4,0.5,1.2,2.4,8.7,1994
Steve Kerr,CHI,82,24.8,0.3,1.3,1.6,2.6,0.9,0,0.7,1.2,8.6,1994
Felton Spencer,UTA,79,28,3,5.4,8.3,0.5,0.5,0.8,1.6,3.8,8.6,1994
Allan Houston,DET,79,19.2,0.2,1.3,1.5,1.3,0.4,0.2,1.3,2.1,8.5,1994
Bobby Phills,CLE,72,21.3,1,2,2.9,1.8,0.9,0.2,0.9,1.9,8.3,1994
Tim Legler,DAL,79,16.7,0.5,1.2,1.6,1.5,0.7,0.2,0.8,1.7,8.3,1994
Terrell Brandon,CLE,73,21.2,0.5,1.7,2.2,3.8,1.2,0.2,1.5,1.5,8.3,1994
Chris Gatling,GSW,82,15.8,1.7,3.1,4.8,0.5,0.5,0.8,1,2.7,8.2,1994
Rodney Rogers,DEN,79,17.8,1.1,1.7,2.9,1.3,0.8,0.6,1.7,2.5,8.1,1994
Tyrone Corbin,UTA,82,26.2,1.8,2.9,4.7,1.5,1.2,0.3,1.1,2.6,8,1994
Bison Dele,DEN,80,18.8,1.7,3.9,5.6,0.6,0.6,1.1,1.3,2.8,8,1994
Pete Myers,CHI,82,24.8,0.7,1.5,2.2,3,1,0.2,1.7,2.4,7.9,1994
Greg Anthony,NYK,80,24.9,0.5,1.8,2.4,4.6,1.4,0.2,1.6,2,7.8,1994
Bimbo Coles,MIA,76,22.7,0.7,1.4,2.1,3.5,1,0.2,1.4,1.7,7.7,1994
Antonio Davis,IND,81,21.4,2.3,3.9,6.2,0.7,0.6,1,1.3,2.3,7.7,1994
Haywoode Workman,IND,65,26.4,0.5,2.6,3.1,6.2,1.3,0.1,2.3,2.3,7.7,1994
Kenny Gattison,CHA,77,21.4,1.4,3.3,4.6,1.2,0.8,0.6,1,3,7.7,1994
John Salley,MIA,76,25.1,1.7,3.6,5.4,1.8,0.7,1,1.2,3.4,7.7,1994
